code,gdp,population,inflation,unemployment,alcohol
TWN,6.125916958,15346370000000.0,23374000.0,102.742,4.18,
GTM,5.855717182,221586000000.0,15482000.0,112.871,,
DNK,7.519909382,1557710000000.0,5591000.0,129.85,7.008,
UKR,5.030342102,688622000000.0,45373000.0,33781019.71,7.411,
AUS,7.195585728,1545000000000.0,23207000.0,103.5,5.658,
AUT,7.400688648,272495000000.0,8484000.0,118.803,4.9,
VEN,7.066577435,62023000000.0,29985000.0,406.371,9.213,
KEN,4.547335148,1671240000000.0,44351000.0,259.056,,
LAO,4.876084805,39724050000000.0,6772000.0,227.58,,
TUR,5.309076309,122723000000.0,76484000.0,222.333,9.728,
ALB,5.510124207,678134000000.0,2788000.0,115.171,12.8,
ITA,5.839313984,1365230000000.0,59685000.0,119.033,12.242,
TUN,4.463531017,54397000000.0,10918000.0,141.661,16.7,
RUS,5.620735645,43441040000000.0,142929000.0,1132.66,5.525,
MEX,7.320185184,13404640000000.0,118397000.0,109.203,4.92,
BRA,6.660003662,1180240000000.0,198292000.0,24497737755913.3,5.383,
CIV,-1.0,9347420000000.0,24069000.0,145.089,,
MKD,4.639647484,371504000000.0,2071000.0000000002,111.174,30.018,
USA,7.026226997,15761300000000.0,316373000.0,232.96,7.35,
SWE,7.560147762,3603970000000.0,9635000.0,99.954,8.0,
AZE,4.910771847,23016000000.0,9309000.0,262.074,6.048,
GNB,-1.0,364623000000.0,1613000.0,107.278,,
CAN,7.415144444,1694940000000.0,35105000.0,122.833,7.083,
KOR,6.003286839,1134853200000000.0,50220000.0,107.667,3.125,
SVK,5.91105938,65587000000.0,5411000.0,122.929,14.173,
CYP,6.180507183,13917000000.0,881000.0,119.978,16.04,
BIH,4.773144722,25111000000.0,3878000.0,143.114,27.0,
SGP,-1.0,324592000000.0,5399000.0,115.81,1.9,
UZB,6.019331932,904113000000.0,30241000.0,2944.56,,
POL,5.87593174,1339350000000.0,38533000.0,169.068,10.325,
KWT,6.221094608,20606000000.0,3890000.0,161.102,2.072,
GAB,3.97205925,5086340000000.0,1563000.0,117.71,,
EST,5.363927841,12831000000.0,1286000.0,143.909,8.628,
ESP,6.290690422,1014830000000.0,46610000.0,121.001,26.375,
IRQ,4.659508705,73158000000000.0,34776000.0,142.742,,
SLV,5.934371471,9607000000.0,6325000.0,108.936,5.737,
MLI,4.313016891,1793740000000.0,16854000.0,143.021,,
LVA,5.125025272,14747000000.0,2036000.0,147.033,11.871,
IRN,4.608927727,516509420000000.0,77097000.0,176.451,12.935,
SSD,-1.0,23188000000.0,10882000.0,158.864,,
SLE,-1.0,9810580000000.0,6104000.0,1856.06,,
NZL,7.249629974,150606000000.0,4479000.0,138.077,6.119,
JPN,5.968216419,525390199999999.94,127341000.0,100.043,4.025,
KGZ,5.207785606,36520000000.0,5644000.0,260.284,7.647,
ARE,7.217766762,1074400000000.0001,9031000.0,249.366,,
ARG,6.468387127,488204000000.0,41492000.0,356.213,7.086,
SDN,4.550499439,101889000000.0,34382000.0,313.967,9.616,
BHR,5.027186871,10704000000.0,1174000.0,118.508,4.348,
ARM,4.319711685,3136650000000.0,3287000.0,262.559,18.5,
