code,gdp,population,inflation,unemployment,alcohol
AGO,-1.0,1295320000000.0,18498000.0,81.278,,
DZA,-1.0,5779560000000.0,35268000.0,131.1,10.167,
EGY,4.631741047,545679999999.99994,76900000.0,186.718,9.367,
BGD,5.052278519,4997070000000.0,149503000.0,133.747,,
QAT,-1.0,243492000000.0,1632000.0,234.999,,
NAM,-1.0,39799000000.0,2103000.0,186.761,,
BGR,-1.0,51762000000.0,7564000.0,132.557,6.878,
BOL,5.297872543,31294000000.0,10227000.0,115.628,6.83,
GHA,4.965134621,22454000000.0,23108000.0,429.467,,
PAK,4.413918972,8579990000000.0,168180000.0,117.025,5.46,
PAN,6.930903435,19538000000.0,3465000.0,141.981,6.932,
JOR,4.930058002,9760000000.0,5980000.0,118.539,12.938,
LBR,4.221354008,662000000.0,3624000.0,240.864,,
LBY,-1.0,45327000000.0,5964000.0,126.695,,
MYS,5.806781769,629885000000.0,28082000.0,98.325,3.675,
TZA,4.384741783,15721300000000.0,41783000.0,177.118,,
BWA,5.451147079,61282000000.0,1982000.0,212.412,,
KHM,4.462163925,28692370000000.0,14805000.0,131.124,,
PRY,5.570061684,20282250000000.0,6341000.0,107.858,6.4,
SAU,6.811370373,993255000000.0,26661000.0,110.5,5.377,
LBN,4.594851017,40996740000000.0,4247000.0,107.554,,
SVN,-1.0,23897000000.0,2032000.0,113.125,5.892,
BFA,3.846438885,3101000000000.0,15100000.0,100.864,,
CHE,-1.0,517134000000.0,7701000.0,99.059,3.701,
MRT,4.248075008,351043000000.0,3377000.0,125.054,,
HRV,-1.0,279248000000.0,4303000.0,98.963,9.002,
CHL,5.789438725,92926820000000.0,16929000.0,90.884,10.833,
CHN,4.84629488,12803680000000.0,1334500000.0,239.789,4.3,
JAM,-1.0,734997000000.0,2730000.0,269.809,11.35,
GIN,-1.0,7870010000000.0,10079000.0,611.979,,
FIN,7.67062664,151858000000.0,5351000.0,108.656,8.242,
URY,5.663869858,516552000000.0,3345000.0,91.199,7.317,
THA,5.636471272,4263140000000.0005,66879999.99999999,93.275,1.5,
NPL,4.440526485,590107000000.0,26545000.0,127.223,,
MAR,-1.0,612741000000.0,31514000.0,107.037,9.095,
YEM,-1.0,362079000000.0,23687000.0,253.845,,
PHL,4.589065075,5297240000000.0,91000000.0,116.058,7.475,
ZAF,5.346306801,1786900000000.0,50223000.0,171.459,23.7,
NIC,5.103827477,127398000000.0,5748000.0,131.864,8.158,
ROU,-1.0,332360000000.0,21484000.0,94.239,6.859,
SYR,5.32333231,1420830000000.0,21092000.0,166.726,8.139,
MLT,-1.0,5322000000.0,411000.0,110.12,6.917,
KAZ,5.886419773,13433120000000.0,16198000.0,212.232,6.575,
SUR,-1.0,8648000000.0,524000.0,240.7,9.018,
BEN,3.66713953,2403220000000.0,9241000.0,100.402,,
NGA,4.938560486,10240480000000.0,151874000.0,95.783,19.7,
BEL,7.116590977,354602000000.0,10753000.0,108.862,7.858,
TGO,2.807855129,1097099999999.9999,6144000.0,104.878,,
DEU,6.521790028,2282570000000.0,81802000.0,107.183,7.783,
LKA,4.430846214,2449210000000.0,20242000.0,133.625,5.9,
GBR,6.986463547,1461360000000.0,61792000.0,110.833,7.65,
MWI,-1.0,603090000000.0,15274000.0,287.725,,
CRI,6.850679874,2076280000000.0002,4469000.0,132.5,7.822,
