code,gdp,population,inflation,unemployment,alcohol
CMR,4.291800499,8889230000000.0,19926000.0,213.0,,
NER,4.235657215,1846750000000.0,14693000.0,132.31,,
HUN,-1.0,21541770000000.0,10031000.0,123.928,10.5,
TKM,-1.0,26806000000.0,5353000.0,299.872,,
TTO,6.696444035,88842000000.0,1323000.0,178.218,5.3,
NLD,7.631011963,541000000000.0,16530000.000000002,106.57,3.728,
Country_code,-1.0,,,,,
TCD,4.632468224,3913660000000.0,9973000.0,119.317,,
GEO,4.15609026,10356000000.0,4385000.0,226.916,16.85,
MNE,-1.0,2398000000.0,618000.0,394.939,,
BLZ,-1.0,2389000000.0,327000.0,127.178,12.5,
MMR,-1.0,37849600000000.0,59981000.0,1503.69,4.02,
AFG,3.723589897,334621000000.0,27708000.0,90.315,,
BDI,3.563227654,1434690000000.0,8172000.000000001,851.952,,
BLR,5.463332176,137442180000000.0,9514000.0,150.464,0.9,
GRC,-1.0,203841000000.0,11191000.0,111.931,9.461,
ZWE,3.174263716,8157000000.0,12230000.0,54.489,,
RWA,4.362988949,2181679999999.9998,9792000.0,101.415,,
TJK,5.063986778,151000000.0,7530000.0,805.457,,
PSE,4.385603428,,,,,
IND,5.145833015,47908500000000.0,1178130000.0,164.152,,
IRL,7.568029881,160859000000.0,4533000.0,107.067,12.009,
BTN,-1.0,39369000000.0,714000.0,763.014,4.0,
VNM,5.480425358,2027590910000000.0,86025000.0,153.035,4.6,
NOR,7.632287502,2706560000000.0,4843000.0,125.733,3.157,
CZE,-1.0,3471490000000.0,10426000.0,113.267,6.662,
HND,5.420331001,154079000000.0,7470000.0,210.333,4.493,
MUS,-1.0,173198000000.0,1278000.0,170.755,7.328,
DOM,4.84230566,342564000000.0,9700000.0,322.278,5.31,
LUX,-1.0,31739000000.0,498000.0,110.033,5.4,
ISR,7.261261463,819793000000.0,7215000.0,92.571,9.425,
PER,5.129230976,193157000000.0,29101000.0,100.0,8.387,
IDN,4.815309525,2178850330000000.0,234300000.0,86.829,7.87,
COD,-1.0,6933090000000.0,68406000.0,1860.24,,
COG,3.819792271,1270720000000.0,3756000.0,114.601,,
ISL,6.888284206,884322000000.0,319000.0,193.073,8.015,
ETH,-1.0,378907000000.0,81188000.0,263.986,,
COM,-1.0,129300999999.99998,652000.0,144.818,,
COL,6.168395042,408379000000000.0,44978000.0,101.929,12.017,
PRT,5.716966629,159858000000.0,10632000.0,107.36,9.469,
MDA,5.502756119,8801000000.0,3568000.0,31227.59,6.4,
MDG,4.640079021,6842630000000.0,20496000.0,241.167,,
ECU,5.296513081,54558000000.0,14738000.0,122.939,8.485,
SEN,4.683499813,4777360000000.0,12587000.0,98.286,,
SRB,-1.0,2853170000000.0,7321000.0,129.918,17.4,
FRA,7.008064747,1742580000000.0,62466000.0,106.935,9.517,
LTU,5.553925991,75103000000.0,3163000.0,127.086,13.788,
UGA,4.568619251,19706990000000.0,32368000.000000004,139.626,,
ZMB,4.730263233,16241000000.0,12825000.0,97.655,,
TWN,5.547682285,12834050000000.0,23120000.0,97.655,5.85,
GTM,6.414494514,193910000000.0,14027000.0,94.483,,
DNK,7.970891953,1519040000000.0,5511000.0,119.683,5.992,
UKR,5.172380447,627571000000.0,45963000.0,28525036.31,8.843,
AUS,7.253757477,1388260000000.0,21866000.0,93.375,5.575,
AUT,7.180953979,257231000000.0,8363000.0,107.71,4.783,
VEN,6.257771492,56651000000.0,28182000.0,147.583,7.879,
KEN,4.015274525,1371110000000.0,39825000.0,188.367,,
LAO,5.044098854,29132160000000.0,6268000.0,179.931,,
TUR,5.118231773,97003000000.0,72050000.0,164.323,14.028,
ALB,-1.0,621305000000.0,2898000.0,103.407,13.615,
ITA,6.779774189,1394350000000.0,59001000.0,108.775,7.817,
TUN,-1.0,50661000000.0,10440000.0,117.006,13.29,
RUS,5.61875391,38057210000000.0,142700000.0,871.403,8.4,
MEX,6.829036236,11680750000000.0,112613000.0,93.821,5.458,
BRA,6.691424847,1033839999999.9999,191481000.0,19537658456154.2,8.083,
CIV,-1.0,8072730000000.0,21385000.0,131.311,,
MKD,-1.0,342062000000.0,2053000.0,99.26,32.175,
USA,7.280385971,14417930000000.0,307374000.0,214.565,9.283,
SWE,7.51599741,3206610000000.0,9341000.0,95.167,8.3,
AZE,4.817189217,20268000000.0,8897000.0,222.199,6.048,
GNB,-1.0,338609000000.0,1484000.0,98.363,,
CAN,7.485603809,1541350000000.0,33581000.0,114.45,8.292,
KOR,5.389624596,981625100000000.0,49182000.0,97.129,3.65,
SVK,-1.0,59350000000.0,5409000.0,111.43,12.117,
CYP,-1.0,14910000000.0,819000.0,109.233,5.417,
BIH,-1.0,24671000000.0,3904000.0,132.58,24.068,
SGP,6.641956806,250954000000.0,4988000.0,99.974,3.025,
UZB,5.311368465,658436000000.0,28000000.0,1914.86,,
POL,-1.0,1191690000000.0,38136000.0,151.066,8.166,
KWT,-1.0,18544000000.0,3485000.0,138.642,1.639,
GAB,-1.0,4007160000000.0,1475000.0,111.057,,
EST,5.451937675,10896000000.0,1340000.0,123.558,13.549,
ESP,7.294472694,1046099999999.9999,46368000.0,110.642,18.0,
IRQ,4.589844704,54720800000000.0,31234000.0,122.074,,
SLV,5.191493988,8954000000.0,6180000.0,99.915,8.104,
MLI,4.114664078,1621570000000.0,14910000.0,130.885,,
LVA,5.145375252,12953000000.0,2163000.0,139.618,16.902,
IRN,5.128988266,511975000000000.0,73201000.0,73.258,11.912,
SSD,-1.0,-1.0,-1.0,-1.0,,
SLE,2.997251034,6559700000000.0,5641000.0,1064.52,,
NZL,7.38117075,137949000000.0,4325000.0,126.943,6.15,
JPN,5.91067934,489588400000000.0,128050999.99999999,100.736,5.05,
KGZ,4.736588001,31614000000.0,5418000.0,189.091,8.4,
ARE,-1.0,930475000000.0,8199999.999999999,240.78,,
ARG,5.961034298,386704000000.0,39669000.0,241.324,8.675,
SDN,-1.0,99820000000.0,39117000.0,127.149,14.894,
BHR,-1.0,9266000000.0,1038999.9999999999,109.878,4.0,
ARM,4.651972294,2651580000000.0,3250000.0,209.651,18.7,
