code,country,happiness,gdp,population,inflation,unemployment,alcohol
AGO,Angola,3.794837952,1693260000000.0,22088000.0,146.92,,6.1999998093
DZA,Algeria,6.354898453,7099010000000.0,39474000.0,173.159,9.029,10.6000003815
EGY,Egypt,4.885072708,648652000000.0,87550000.0,331.013,13.092,13.1999998093
BGD,Bangladesh,4.635564804,7173040000000.0,159554000.0,209.399,,4.1999998093
QAT,,,410403000000.0,2389000.0,262.996,,0.200000003
NAM,Namibia,4.573991299,53370000000.0,2210000.0,259.636,,18.3999996185
BGR,Bulgaria,4.438439846,55914000000.0,7166000.0,145.918,11.89,11.3999996185
BOL,Bolivia,5.864798546,42483000000.0,11460000.0,161.899,6.209,3.5
GHA,Ghana,3.860351086,35045000000.0,26886000.0,797.708,,5.0999999046
PAK,Pakistan,5.435657978,10549090000000.0,190008000.0,207.033,7.212,5.5999999046
PAN,Panama,6.631171227,31918000000.0,3856000.0,183.948,4.5,4.8000001907
JOR,Jordan,5.333021641,11686000000.0,6848000.0,151.149,12.2,11.8999996185
LBR,Liberia,4.571419239,1030000000.0,4296000.0,374.329,,3.5999999046
LBY,,,40033000000.0,6305000.0,182.495,,18.6000003815
MYS,Malaysia,5.962921619,868982000000.0,30636000.0,114.967,3.0,2.9000000954
TZA,Tanzania,3.483278513,23502100000000.0,49095000.0,295.791,,2.0999999046
BWA,Botswana,4.031197071,83088000000.0,2129000.0,300.772,,17.1000003815
KHM,Cambodia,3.88330555,43074890000000.0,15716000.0,163.411,,0.1000000015
PRY,Paraguay,5.118641853,29251920000000.0,7036000.0,143.034,5.5,6.0
SAU,Saudi Arabia,6.27837801,1380180000000.0,31237000.0,134.737,-1.0,5.6999998093
LBN,Lebanon,5.233025551,47929830000000.0,4554000.0,137.678,,6.1999998093
SVN,Slovenia,5.678395271,23787000000.0,2065000.0,125.744,9.952,9.6999998093
BFA,Burkina Faso,3.481347799,4663140000000.0,17600000.0,113.511,,3.2999999523
CHE,Switzerland,7.492803574,583032000000.0,8099000.0,99.743,3.047,4.5
MRT,Mauritania,4.482805252,494606000000.0,3896000.0,169.053,,10.1000003815
HRV,Croatia,5.380692482,263910000000.00003,4281000.0,109.819,17.127,17.2999992371
CHL,Chile,6.844238281,123063690000000.0,17865000.0,106.424,6.2,6.4000000954
CHN,China,5.195619106,20669450000000.0,1374310000.0,291.921,4.1,4.5999999046
JAM,Jamaica,5.310538769,756641000000.0,2812000.0,451.158,14.9,13.6999998093
GIN,Guinea,3.4124825,9733030000000.0,11688000.0,1323.02,,6.4000000954
FIN,Finland,7.384571075,159868000000.0,5501000.0,124.319,7.914,8.6999998093
URY,Uruguay,6.561443806,687389000000.0,3416000.0,144.378,6.9,6.5
THA,Thailand,6.985463619,5359730000000.0,68866000.0,109.92,0.8,0.8000000119
NPL,Nepal,4.975014687,759491000000.0,28798000.0,213.551,,3.0
MAR,,,780118000000.0,33503000.0,118.261,9.035,9.8999996185
YEM,Yemen,3.967957973,399277000000.0,28284000.0,498.953,,17.3999996185
PHL,Philippines,5.312550068,7669640000000.0,101423000.0,144.947,6.8,6.5999999046
ZAF,South Africa,4.828456402,2094420000000.0,54425000.0,234.726,24.742,24.8999996185
NIC,Nicaragua,6.275266647,165055000000.0,6257000.0,198.156,5.863,5.9000000954
ROU,Romania,5.726893425,366451000000.0,21204000.0,119.752,7.029,6.8000001907
SYR,,,-1.0,-1.0,-1.0,-1.0,14.5
MLT,Malta,6.45211792,5988000000.0,418000.0,124.644,6.2,5.8000001907
KAZ,Kazakhstan,5.970097542,19334960000000.0,17657000.0,321.754,5.2,5.0999999046
SUR,,,11260000000.0,558000.0,339.745,8.928,6.9000000954
BEN,Benin,3.347419262,3146370000000.0,10862000.0,118.702,,1.0
NGA,,,15415380000000.0,178721000.0,168.665,-1.0,4.8000001907
BEL,Belgium,6.855329037,378721000000.0,11239000.0,122.153,8.943,8.5
TGO,Togo,2.83895874,1503810000000.0,7182000.0,122.007,,6.1999998093
DEU,Germany,6.984214306,2568370000000.0,81016000.0,118.472,5.179,5.0
LKA,Sri Lanka,4.267932892,3723410000000.0,21107000.0,194.023,4.0,4.4000000954
GBR,United Kingdom,6.758147717,1615360000000.0,64938000.0,130.963,6.577,6.0999999046
MWI,Malawi,4.563080311,810098000000.0,18111000.0,633.573,,6.4000000954
CRI,Costa Rica,7.247086048,2677720000000.0,4971000.0,173.58,8.0,9.6000003815
CMR,Cameroon,4.240441322,11519250000000.0,23108000.0,243.764,,4.0999999046
NER,Niger,4.180943489,2656600000000.0,17647000.0,142.406,,2.5
HUN,Hungary,5.18056345,22810230000000.0,9840000.0,151.002,9.199,7.6999998093
TKM,Turkmenistan,5.787379265,51151000000.0,5888000.0,415.085,,8.8999996185
TTO,,,93173000000.0,1358000.0,259.43,5.0,3.2999999523
NLD,Netherlands,7.32118845,556481000000.0,16879000.0,118.345,7.065,7.4000000954
Country_code,,,,,,,
TCD,Chad,3.460182905,5967690000000.0,11566000.0,135.404,,5.8000001907
GEO,Georgia,4.287508011,14249000000.0,4456000.0,282.622,-1.0,12.3999996185
MNE,Montenegro,5.282720566,2704000000.0,625000.0,439.663,,18.0
BLZ,Belize,5.955646515,2791000000.0,361000.0,137.051,15.018,11.6000003815
MMR,Myanmar,4.786247253,56604560000000.0,67556000.0,2073.42,4.02,0.8000000119
AFG,Afghanistan,3.130895615,492082000000.0,32006999.999999996,131.961,,8.6000003815
BDI,Burundi,2.904535055,1873030000000.0,9422000.0,1395.22,,1.6000000238
BLR,Belarus,5.812400818,167023140000000.0,9370000.0,632.876,0.6,0.5
GRC,Greece,4.75623703,166671000000.0,11029000.0,121.685,24.35,26.5
ZWE,Zimbabwe,4.184450626,12603000000.0,13407000.0,63.21,,5.0999999046
RWA,Rwanda,3.595678329,3317050000000.0,11093000.0,132.399,,3.4000000954
TJK,Tajikistan,4.896157742,224000000.0,8477000.0,1196.53,,10.8000001907
PSE,Palestine,4.721938133,,,,,26.8999996185
IND,India,4.424379349,69024590000000.0,1276270000.0,278.447,,3.5
IRL,Ireland,7.018379211,169130000000.0,4834000.0,111.113,10.462,11.3000001907
BTN,Bhutan,4.938578129,60577000000.0,748000.0,1245.79,3.2,2.5999999046
VNM,Vietnam,5.084923267,2839128210000000.0,91578000.0,260.402,4.424,1.8999999762
NOR,Norway,7.444470882,2954910000000.0,5204000.0,139.57,3.5,3.5
CZE,Czech Republic,6.483729839,3693800000000.0,10551000.0,126.299,6.34,6.0999999046
HND,Honduras,5.055726051,187730000000.0,8433000.0,292.242,4.5,5.5
MUS,Mauritius,5.647779942,215105000000.0,1316000.0,218.379,-1.0,7.6999998093
DOM,Dominican Republic,5.387331963,453520000000.0,10792000.0,437.742,5.897,14.5
LUX,Luxembourg,6.89112711,35293000000.0,563000.0,127.048,6.91,5.9000000954
ISR,Israel,7.400570393,1032819999999.9999,8221000.0,105.259,6.5,5.9000000954
PER,Peru,5.865815639,279756000000.0,31911000.0,117.001,6.0,6.0
IDN,Indonesia,5.597375393,3088118000000000.0,255077000.0,119.291,5.8,5.9000000954
COD,Democratic Republic of Congo,4.414299965,10878790000000.0,81680000.0,2911.62,,3.7000000477
COG,Congo,4.05601263,1773430000000.0,4368000.0,141.071,,10.1000003815
ISL,,,961169000000.0,324000.0,246.036,3.717,4.9000000954
ETH,Ethiopia,4.506646633,642032000000.0,92984000.0,583.749,,5.0
COM,,,155391000000.0,739000.0,186.11,,19.7999992371
COL,Colombia,6.44878912,537096350000000.0,48277000.0,118.945,9.0,9.1999998093
PRT,Portugal,5.12691164,157667000000.0,10633000.0,118.546,15.05,13.8999996185
MDA,Moldova,5.917058468,11764000000.0,3558000.0,44064.36,5.3,3.9000000954
MDG,Madagascar,3.675626993,7821440000000.0,24107000.0,365.558,,1.3999999762
ECU,Ecuador,5.945851803,71933000000.0,16279000.0,151.455,5.0,3.7999999523
SEN,Senegal,4.394777298,5998650000000.0,14966000.0,108.555,,10.3999996185
SRB,Serbia,5.112728596,3027060000000.0,7199000.0,191.651,22.016,18.8999996185
FRA,France,6.466867924,1860420000000.0,64244000.0,117.451,10.739,10.3000001907
LTU,Lithuania,6.125723839,92560000000.0,2942000.0,143.581,10.5,10.6999998093
UGA,Uganda,3.769919157,27497590000000.0,39295000.0,234.002,,1.8999999762
ZMB,Zambia,4.345837116,24408000000.0,15520000.0,148.878,,7.6999998093
TWN,Taiwan,6.36349678,16445110000000.0,23489000.0,106.264,4.1,
GTM,Guatemala,6.536030769,237369000000.0,16265999.999999998,122.123,,2.9000000954
DNK,Denmark,7.507559299,1607210000000.0,5629000.0,134.17,6.7,6.5999999046
