code,country,happiness,gdp,population,inflation,unemployment,alcohol
UKR,Ukraine,4.297329903,-1.0,-1.0,-1.0,-1.0,9.3000001907
AUS,Australia,7.288550377,1628390000000.0,23767000.0,108.457,6.2,6.0999999046
AUT,Austria,6.949999809,281946000000.0,8556000.0,122.998,4.9,5.5999999046
VEN,Venezuela,6.136096478,61096000000.0,30933000.0,844.918,13.326,7.0
KEN,Kenya,4.904579639,1888060000000.0,46767000.0,291.309,,11.8999996185
LAO,,,46027550000000.0,7032000.0,262.873,,1.2999999523
TUR,Turkey,5.579794407,129348000000.00002,78152000.0,255.257,10.598,9.8999996185
ALB,Albania,4.813763142,715223000000.0,2760000.0,121.593,12.48,17.5
ITA,Italy,6.026585102,1389560000000.0,60236000.0,121.045,11.9,12.6999998093
TUN,Tunisia,4.763594627,58550000000.0,11203000.0,156.923,15.0,15.1000003815
RUS,Russia,6.036976814,45039480000000.0,142786000.0,1261.54,6.2,5.1999998093
MEX,Mexico,6.679831028,14286500000000.0,120777000.0,117.63,4.25,4.8000001907
BRA,Brazil,6.980998993,1233620000000.0,201663000.0,27387065940245.1,5.8,6.8000001907
CIV,Cote d'Ivoire,3.570368528,10883170000000.0,25534000.0,150.45,,9.3999996185
MKD,Macedonia,5.203825951,396403000000.0,2080000.0,115.826,28.048,28.0
USA,United States,7.151114464,16675939999999.998,321315000.0,240.016,6.229,6.1999998093
SWE,Sweden,7.239147663,3799950000000.0,9794000.0,101.96,7.692,8.0
AZE,Azerbaijan,5.25153017,25272000000.0,9459000.0,281.995,6.048,4.9000000954
GNB,,,390080000000.0,1681000.0,112.159,,6.0
CAN,Canada,7.30425787,1774930000000.0,35855000.0,126.997,6.937,6.9000000954
KOR,South Korea,5.801325321,1221626570000000.0,50655000.0,112.842,3.125,3.5
SVK,Slovakia,6.1388731,69074000000.0,5424000.0,125.81,13.601,13.1999998093
CYP,Cyprus,5.627123833,13369000000.0,900000.0,122.203,18.431,16.1000003815
BIH,Bosnia and Herzegovina,5.248954296,26433000000.0,3863000.0,146.859,24.5,27.5
SGP,Singapore,7.062364578,348566000000.0,5532000.0,121.468,2.1,2.7999999523
UZB,Uzbekistan,6.049212456,1030280000000.0,30971000.0,3628.98,,8.8999996185
POL,Poland,5.750282288,1426290000000.0,38538000.0,175.607,9.962,9.0
KWT,Kuwait,6.180138588,21758000000.0,4110000.0000000005,173.103,2.072,3.2999999523
GAB,Gabon,3.918073177,5718830000000.0,1608000.0,127.408,,20.1000003815
EST,Estonia,5.55598259,13556000000.0,1332000.0,152.673,8.408,7.4000000954
ESP,Spain,6.456477642,1033480000000.0,46402000.0,122.346,24.9,24.3999996185
IRQ,Iraq,4.541502476,82672730000000.0,36977000.0,149.807,,15.0
SLV,El Salvador,5.856523514,9927000000.0,6377000.0,113.78,5.687,7.0
MLI,Mali,3.974714279,2004810000000.0,17920000.0,152.241,,8.1999998093
LVA,Latvia,5.729115486,15974000000.0,2023000.0000000002,152.932,10.097,10.8000001907
IRN,Iran,4.682224274,536603360000000.0,79093000.0,264.791,14.65,10.6000003815
SSD,South Sudan,3.831992388,29193000000.0,11893000.0,192.476,,-1.0
SLE,Sierra Leone,4.499970436,12379360000000.0,6319000.0,2134.66,,2.7999999523
NZL,New Zealand,7.305892467,160182000000.0,4554000.0,144.213,4.738,5.4000000954
JPN,Japan,5.922620773,537622650000000.0,126729000.0,104.582,3.93,3.5999999046
KGZ,Kyrgyzstan,5.252192974,40017000000.0,5757000.0,294.315,7.464,8.0
ARE,United Arab Emirates,6.539854527,1168150000000.0,9581000.0,261.42,,4.0
ARG,Argentina,6.671114445,495554000000.0,42434000.0,-1.0,7.624,7.3000001907
SDN,Sudan,4.138672829,109454000000.0,36193000.0,432.073,8.025,13.0
BHR,Bahrain,6.165133953,11571000000.0,1222000.0,124.367,4.266,1.2000000477
ARM,Armenia,4.453083038,3417370000000.0,3301000.0,286.715,17.9,17.6000003815
