Country_code
AFG
AGO
ALB
ARE
ARG
ARM
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BIH
BLR
BLZ
BOL
BRA
BTN
BWA
CAN
CHE
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CRI
CYP
CZE
DEU
DNK
DOM
DZA
ECU
EGY
ESP
EST
ETH
FIN
FRA
GAB
GBR
GEO
GHA
GIN
GNB
GRC
GTM
HND
HRV
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KOR
KWT
LAO
LBN
LBR
LBY
LKA
LTU
LUX
LVA
MAR
MDA
MDG
MEX
MKD
MLI
MLT
MMR
MNE
MRT
MUS
MWI
MYS
NAM
NER
NGA
NIC
NLD
NOR
NPL
NZL
PAK
PAN
PER
PHL
POL
PRT
PRY
PSE
QAT
ROU
RUS
RWA
SAU
SDN
SEN
SGP
SLE
SLV
SRB
SSD
SUR
SVK
SVN
SWE
SYR
TCD
TGO
THA
TJK
TKM
TTO
TUN
TUR
TWN
TZA
UGA
UKR
URY
USA
UZB
VEN
VNM
YEM
ZAF
ZMB
ZWE
