code,country,happiness,gdp,population,inflation,unemployment,alcohol
MWI,Malawi,5.148239613,642492000000.0,15714000.0,309.045,,6.5
CRI,Costa Rica,7.614928722,2179150000000.0,4534000.0,140.003,7.288,7.6999998093
CMR,Cameroon,4.741408348,9186440000000.0,20424000.0,215.725,,3.5
NER,Niger,4.267169952,2001140000000.0,15148000.0,128.624,,2.4000000954
HUN,Hungary,4.894600391,21768820000000.0,10014000.0,129.978,10.8,10.0
TKM,Turkmenistan,6.567713261,29261000000.0,5439000.0,313.215,,9.1000003815
TTO,,,89029000000.0,1328000.0,197.016,5.9,5.3000001907
NLD,,,549265000000.0,16614999.999999998,107.561,4.458,3.4000000954
Country_code,,,,,,,
TCD,Chad,3.639445066,4444010000000.0,10223000.0,116.783,,5.6999998093
GEO,Georgia,3.800639153,11003000000.0,4436000.0,243.047,16.291,16.7999992371
MNE,Montenegro,4.8010602,2457000000.0,619000.0,397.532,,19.1000003815
BLZ,,,2462000000.0,332000.0,128.345,13.716,12.8000001907
MMR,,,39872550000000.0,61187000.0,1627.33,4.02,0.8000000119
AFG,Afghanistan,4.401778221,362857000000.0,28398000.0,92.283,,8.1999998093
BDI,Burundi,3.791680813,1507180000000.0,8368000.0,886.8,,1.6000000238
BLR,Belarus,5.56413126,148081300000000.0,9500000.0,162.114,0.7,0.8999999762
GRC,Greece,6.038574696,193765000000.0,11184000.0,117.207,12.531,9.6000003815
ZWE,Zimbabwe,4.055914402,9085000000.0,12340000.0,56.148,,5.5
RWA,Rwanda,4.029761791,2339170000000.0,9998000.0,103.753,,2.2000000477
TJK,Tajikistan,4.575174809,161000000.0,7616000.0,857.511,,11.5
PSE,Palestine,4.470191479,,,,,24.6000003815
IND,India,4.521517754,52823900000000.0,1194620000.0,181.44,,3.9000000954
IRL,Ireland,7.045911312,159148000000.0,4555000.0,105.383,13.853,12.0
BTN,,,43041000000.0,726000.0,799.837,3.3,4.0
VNM,Vietnam,5.304264545,2157828500000000.0,86933000.0,167.126,4.29,2.5999999046
NOR,,,2722980000000.0,4908000.0,128.75,3.584,3.0999999046
CZE,,,3557220000000.0,10462000.0,114.925,7.279,6.6999998093
HND,Honduras,6.033189297,159828000000.0,7621000.0,220.217,4.605,3.2999999523
MUS,,,180299000000.0,1283000.0,175.756,7.8,7.3000001907
DOM,Dominican Republic,5.431613922,369117000000.0,9874000.0,342.678,5.001,13.0
LUX,Luxembourg,6.957920074,32723999999.999996,508000.0,113.11,5.8,5.0999999046
ISR,Israel,7.352979183,866230000000.0,7373000.0,95.065,8.25,9.5
PER,Peru,5.518846989,210079000000.0,29552000.0,101.53,7.88,4.4000000954
IDN,Indonesia,5.472361088,2314458800000000.0,237641000.0,91.293,7.14,7.9000000954
COD,Democratic Republic of Congo,3.983848572,7423870000000.0,70458000.0,2296.74,,3.7000000477
COG,,,1381820000000.0,3865000.0,120.331,,16.1000003815
ISL,,,848075000000.0,318000.0,203.491,8.132,7.1999998093
ETH,,,418947000000.0,82950000.0,285.459,,5.0999999046
COM,Comoros,3.47602725,131954000000.00002,666000.0,150.464,,20.1000003815
COL,Colombia,6.271604538,424599000000000.0,45512000.0,104.245,11.792,12.1000003815
PRT,,,162953000000.0,10637000.0,108.852,10.797,9.3999996185
MDA,Moldova,5.554374218,9425000000.0,3564000.0,33525.17,7.4,6.4000000954
MDG,,,6852100000000.0,21080000.0,263.543,,4.3000001907
ECU,Ecuador,6.021803379,56481000000.0,15012000.0,127.308,7.59,6.5
SEN,Senegal,4.335114002,4981180000000.0,12951000.0,99.495,,10.1000003815
SRB,Serbia,4.380311966,2881890000000.0,7291000.0,137.913,20.0,16.1000003815
FRA,France,6.283498287,1772640000000.0,62765000.0,108.788,9.725,9.1000003815
LTU,Lithuania,5.466920853,76302000000.0,3097000.0,128.598,17.812,13.8000001907
UGA,Uganda,4.611985683,20928030000000.0,33424999.999999996,145.173,,2.7999999523
ZMB,Zambia,5.260360718,17479000000.0,13217000.0,105.956,,8.6000003815
TWN,,,14215070000000.0,23162000.0,98.595,5.21,
GTM,Guatemala,6.451916218,199474000000.0,14377000.0,98.131,,3.0999999046
DNK,Denmark,7.683358669,1540110000000.0,5535000.0,122.433,7.475,6.0
UKR,Ukraine,5.1656394,653302000000.0,45783000.0,31196376.07,8.097,8.8000001907
AUS,,,1419450000000.0,22172000.0,96.1,5.217,5.5999999046
AUT,,,261781000000.0,8388000.0,109.53,4.417,5.3000001907
VEN,Venezuela,7.188803196,55808000000.0,28631000.0,189.183,8.508,8.0
KEN,Kenya,4.270434856,1450670000000.0,40909000.0,196.484,,12.1999998093
LAO,,,31500910000000.0,6396000.0,190.698,,1.3999999762
TUR,Turkey,5.212841511,105886000000.0,73003000.0,178.4,11.887,12.6000003815
ALB,Albania,5.485469818,644914000000.0,2870000.0,107.076,13.5,13.8000001907
ITA,Italy,6.333800316,1418380000000.0,59190000.0,110.558,8.425,7.6999998093
TUN,Tunisia,5.025470257,52136000000.0,10547000.0,122.165,13.0,13.3000001907
RUS,Russia,5.158227921,39769780000000.0,142900000.0,931.126,7.3,8.3000001907
MEX,Mexico,6.962819099,12277660000000.0,114292000.0,97.719,5.375,5.4000000954
BRA,Brazil,7.000831604,1111720000000.0,193253000.0,20522171165156.5,6.742,9.6999998093
CIV,Cote d'Ivoire,4.197181702,8270410000000.0,22026000.0,133.105,,9.1999998093
MKD,Macedonia,4.428021908,351963000000.0,2057000.0,100.758,32.05,32.2000007629
USA,United States,7.158032417,14779350000000.0,309733000.0,218.08,9.625,9.3000001907
SWE,Sweden,7.265977383,3416860000000.0,9416000.0,96.269,8.575,8.3999996185
AZE,Azerbaijan,4.573725224,21273000000.0,8998000.0,234.788,6.048,5.6999998093
GNB,,,350367000000.0,1515000.0,99.416,,6.1999998093
CAN,Canada,7.48782444,1593360000000.0,33959000.0,116.475,7.992,8.3000001907
KOR,South Korea,5.647689819,1043666300000000.0,49410000.0,99.983,3.725,3.5999999046
SVK,,,61977000000.0,5422000.0,112.212,14.492,12.0
CYP,Cyprus,6.833477497,15106000000.0,840000.0,112.034,6.267,5.4000000954
BIH,Bosnia and Herzegovina,4.963477135,24879000000.0,3897000.0,135.395,27.202,24.1000003815
SGP,Singapore,6.144676685,288748000000.0,5077000.0,102.797,2.175,4.3000001907
UZB,Uzbekistan,5.26072073,714403000000.0,28500000.0,2094.46,,9.1999998093
POL,Poland,5.772027493,1237860000000.0,38167000.0,154.969,9.637,8.1999998093
KWT,Kuwait,6.585246086,18104000000.0,3582000.0,144.876,2.072,1.6000000238
GAB,,,4256830000000.0,1496000.0,112.664,,18.2000007629
EST,Estonia,5.137738705,11175000000.0,1340000.0,126.947,16.707,13.5
ESP,Spain,6.198601246,1043980000000.0,46562000.0,112.902,20.075,17.8999996185
IRQ,Iraq,4.775316715,57751600000000.0,31672000.0,125.058,,15.1999998093
SLV,El Salvador,6.839087009,9076000000.0,6220000.0,101.093,5.855,7.3000001907
MLI,Mali,3.976598501,1715940000000.0,15370000.0,132.572,,9.3999996185
LVA,Latvia,4.668910503,12784000000.0,2121000.0,137.909,18.678,17.5
IRN,,,542174000000000.0,74339000.0,82.317,13.479,12.0
SSD,,,-1.0,-1.0,-1.0,,-1.0
SLE,,,6910510000000.0,5752000.0,1253.81,,3.0
NZL,,,140803000000.0,4376000.0,129.866,6.525,5.8000001907
JPN,Japan,5.844999313,512364200000000.0,128048000.0,100.012,5.042,5.0999999046
KGZ,Kyrgyzstan,5.06905365,31465000000.0,5478000.0,203.762,8.6,8.3999996185
ARE,United Arab Emirates,6.866062641,946021000000.0,8263999.999999999,242.894,,4.1999998093
ARG,Argentina,6.424133301,422136000000.0,40117000.0,266.57,7.75,8.6000003815
SDN,Sudan,4.454917431,102824000000.0,40134000.0,143.666,13.733,13.0
BHR,Bahrain,5.700523376,9668000000.0,1107000.0,112.042,3.6,1.2999999523
ARM,Armenia,4.177581787,2709920000000.0,3263000.0,224.901,19.0,18.7000007629
