code,country,happiness,gdp,population,inflation,unemployment,alcohol
AGO,,,1339460000000.0,19053000.0,93.047,,6.1999998093
DZA,,,5988560000000.0,35978000.0,136.23,9.961,10.1999998093
EGY,Egypt,5.066164494,573767000000.0,78700000.0,208.57,9.185,9.3999996185
BGD,Bangladesh,5.08285141,5316790000000.0,151125000.0,144.616,,5.0
QAT,Qatar,6.417824268,284232000000.0,1637000.0,229.359,,0.400000006
NAM,,,42296000000.0,2120000.0,195.11,,24.0
BGR,,,51966000000.0,7505000.0,136.581,10.306,6.8000001907
BOL,Bolivia,6.085579395,32586000000.0,10426000.0,118.52,6.5,3.4000000954
GHA,Ghana,4.197695732,24252000000.0,23699000.0,479.601,,8.3999996185
PAK,Pakistan,5.208146572,8801390000000.0,171730000.0,128.849,5.55,5.5
PAN,Panama,7.033740044,20994000000.0,3527000.0,146.935,6.846,6.5999999046
JOR,Jordan,5.999859333,9986000000.0,6113000.0,124.469,12.5,12.8999996185
LBR,,,702000000.0,3778000.0,258.426,,4.5999999046
LBY,,,47603000000.0,6053000.0,129.808,,17.1000003815
MYS,Malaysia,5.384701729,676655000000.0,28589000.0,100.017,3.3,3.7000000477
TZA,Tanzania,3.407507896,16828560000000.002,42832000.0,189.855,,2.5
BWA,,,66548000000.0,2007000.0000000002,227.174,,15.3999996185
KHM,Cambodia,4.110625744,30441780000000.0,14953000.0,136.365,,0.200000003
PRY,Paraguay,5.576147079,22937810000000.0,6451000.0,112.875,5.7,6.5
SAU,Saudi Arabia,6.14759016,1067089999999.9999,27563000.0,114.7,5.548,5.4000000954
LBN,Lebanon,5.205998898,44276480000000.0,4341000.0,113.002,,6.1999998093
SVN,Slovenia,5.830160618,24197000000.0,2047000.0000000002,115.2,7.267,5.9000000954
BFA,,,3362860000000.0,15500000.0,100.25,,3.2999999523
CHE,Switzerland,7.524520874,532407000000.00006,7786000.0,99.737,3.516,4.0999999046
MRT,Mauritania,4.500431538,366251000000.0,3460000.0,132.885,,10.0
HRV,Croatia,5.433319569,272904000000.0,4290000.0,99.999,12.099,9.1999998093
CHL,Chile,6.493686199,98210920000000.0,17094000.0,92.164,8.153,9.6999998093
CHN,China,4.454360962,14141280000000.0,1340910000.0,247.762,4.1,4.3000001907
JAM,,,724359000000.0,2741000.0,303.84,12.375,11.3999996185
GIN,,,8022390000000.0,10331000.0,706.627,,6.3000001907
FIN,,,156965000000.0,5375000.0,110.488,8.383,8.1999998093
URY,Uruguay,6.296222687,562768000000.0,3357000.0,97.308,6.667,7.3000001907
THA,Thailand,5.475645065,4596110000000.0,67275000.0,96.334,1.05,1.5
NPL,Nepal,4.91686821,618529000000.0,26846000.0,139.339,,1.8999999762
MAR,,,635063000000.0,31851000.0,108.1,9.063,9.1000003815
YEM,Yemen,4.809258938,389968000000.0,24398000.0,282.212,,14.6000003815
PHL,Philippines,4.879910946,5701540000000.0,92600000.0,120.45,7.325,7.5
ZAF,South Africa,5.218430996,1843010000000.0,50896000.0,178.781,24.875,23.5
NIC,Nicaragua,5.352804661,132013000000.0,5923000.0,139.058,7.829,8.1999998093
ROU,Romania,5.367565155,328541000000.0,21447000.0,100.0,7.277,6.9000000954
SYR,Syria,4.978970528,1469700000000.0,21393000.0,174.059,8.613,8.1000003815
MLT,Malta,6.32763958,5500000000.0,414000.0,112.367,6.917,6.9000000954
KAZ,Kazakhstan,5.382563114,14413740000000.0,16434000.000000002,227.355,5.783,6.5999999046
SUR,,,9013000000.0,531000.0,257.279,7.564,9.0
BEN,,,2464550000000.0,9510000.0,102.59,,1.1000000238
NGA,Nigeria,4.980220318,11057270000000.0,156051000.0,108.925,21.1,7.1999998093
BEL,,,362840000000.0,10840000.0,111.401,8.25,7.9000000954
TGO,,,1141750000000.0,6306000.0,106.385,,6.3000001907
DEU,Germany,6.64149332,2370600000000.0,81752000.0,108.425,7.1,7.6999998093
LKA,Sri Lanka,4.212026596,2645540000000.0,20401000.0,141.933,5.0,5.9000000954
GBR,United Kingdom,6.90654707,1485620000000.0,62262000.0,114.475,7.85,7.5
