COM,-1.0,161552000000.0,754000.0,192.118,,
COL,6.387571812,561383939999999.94,48850000.0,122.563,9.0,
PRT,5.080866337,160316000000.0,10641000.0,120.289,14.528,
MDA,6.017472267,12293000000.0,3557000.0,46818.38,5.4,
MDG,3.592514038,8175720000000.0,24681000.0,385.664,,
ECU,5.964075089,74451000000.0,16529000.0,155.241,5.0,
SEN,4.61700058,6306420000000.0,15406000.0,110.41,,
SRB,5.317685127,3087610000000.0,7199000.0,199.317,21.782,
FRA,6.357625008,1892230000000.0,64538000.0,118.978,10.317,
LTU,5.711378098,95896000000.0,2928000.0,146.403,10.5,
UGA,4.237686634,29453140000000.0,40592000.0,246.458,,
ZMB,4.843164444,26065000000.0,16033999.999999998,156.694,,
TWN,6.450088024,17134400000000.002,23547000.0,108.389,4.0,
GTM,6.464986801,245677000000.0,16672999.999999998,127.252,,
DNK,7.514424801,1633920000000.0,5648000.0,137.122,6.7,
UKR,3.964542866,-1.0,-1.0,-1.0,-1.0,
AUS,7.309060574,1676410000000.0,24052000.0,111.194,5.9,
AUT,7.07644701,286568000000.0,8594000.0,125.089,4.8,
VEN,5.568800449,61707000000.0,31416000.0,1972.21,14.643,
KEN,4.357617855,2008480000000.0,48009000.0,305.881,,
LAO,-1.0,49707280000000.0,7165000.0,282.962,,
TUR,5.514465332,133830000000.00002,78967000.0,270.678,10.598,
ALB,4.606650829,745262000000.0,2746000.0,125.24,12.106,
ITA,5.847683907,1406930000000.0,60495000.0,122.377,11.1,
TUN,5.131611824,61186000000.0,11349000.0,163.472,14.0,
RUS,5.995538712,46165470000000.0,142714000.0,1326.51,6.0,
MEX,6.236287117,14822720000000.0,121984000.0,121.208,4.25,
BRA,6.546896935,1270680000000.0,203272000.0,28838046628467.8,6.0,
CIV,4.445038795,11716380000000.0,26300000.0,154.211,,
MKD,4.975589752,411534000000.0,2085000.0,118.49,27.344,
USA,6.863946915,17181919999999.998,323836000.0,244.361,6.061,
SWE,7.28892231,3896550000000.0,9862000.0,104.407,7.492,
AZE,5.146774769,26150000000.0,9534000.0,293.98,6.048,
GNB,-1.0,405924000000.0,1716000.0,114.402,,
CAN,7.412772655,1816680000000.0,36210000.0,129.554,6.842,
KOR,5.780211449,1267754890000000.0,50874000.0,116.227,3.125,
SVK,6.162004471,71492000000.0,5430000.0,128.087,13.249,
CYP,5.439161301,13618000000.0,909000.0,124.281,17.029,
BIH,5.117177963,27411000000.0,3854000.0,149.502,23.5,
SGP,6.619524956,361238000000.0,5585000.0,124.434,2.2,
UZB,5.972364426,1092099999999.9999,31343000.0,4029.69,,
POL,6.007021904,1474080000000.0,38536000.0,179.997,9.886,
KWT,6.146031857,22412000000.0,4225000.0,180.069,2.072,
GAB,4.66101265,6105730000000.0,1631000.0,130.593,,
EST,5.628908634,14029000000.0,1332000.0,156.489,8.186,
ESP,6.380663395,1045130000000.0001,46292000.0,123.445,24.171,
IRQ,4.493377209,89448440000000.0,38090000.0,154.301,,
SLV,6.018496037,10106000000.0,6403000.0,116.738,5.637,
MLI,4.582098484,2102750000000.0,18478000.0,155.624,,
LVA,5.880597591,16646000000.0,2017000.0,156.487,9.646,
IRN,4.749955654,548973010000000.0,80111000.0,317.772,15.325,
SSD,4.070771217,33787000000.0,12131000.0,204.795,,
SLE,4.908617973,13184970000000.0,6439000.0,2255.75,,
NZL,7.418120861,164343000000.0,4591000.0,147.21,4.621,
JPN,5.879684448,541222189999999.94,126345000.0,106.501,3.949,
KGZ,4.905375957,42005000000.0,5815000.0,311.89,7.372,
ARE,6.568397522,1213960000000.0,9856000.0,268.654,,
ARG,6.69713068,502992000000.0,42914000.0,-1.0,7.645,
SDN,-1.0,116074000000.0,37134000.0,472.938,7.667,
BHR,6.00737524,11950000000.0,1246000.0,127.425,4.25,
ARM,4.34831953,3577980000000.0,3307000.0,298.183,17.7,
