code,country,happiness,gdp,population,inflation,unemployment,alcohol
AGO,Angola,3.937106848,1604450000000.0,21444000.0,136.383,,6.1999998093
DZA,,,6816570000000.0,38700000.0,166.499,9.387,9.8000001907
EGY,Egypt,3.558520317,623162000000.0,85833000.0,297.756,12.977,13.1999998093
BGD,Bangladesh,4.660161018,6735250000000.0,157918000.0,196.187,,4.3000001907
QAT,,,383281000000.0,2212000.0,254.131,,0.3000000119
NAM,,,51076000000.0,2192000.0,245.518,,19.2000007629
BGR,Bulgaria,3.993020535,54550000000.0,7202000.0,144.569,12.5,12.8999996185
BOL,Bolivia,5.767428875,40460000000.0,11246000.0,153.772,6.28,2.9000000954
GHA,Ghana,4.965053082,33253000000.0,26216000.0,718.317,,5.1999998093
PAK,Pakistan,5.138082504,10172610000000.0,186289000.0,189.939,6.882,6.1999998093
PAN,Panama,6.86648035,29857000000.0,3788000.0,177.556,4.5,4.0999999046
JOR,Jordan,5.171952724,11237000000.0,6694000.0,147.668,12.2,12.6000003815
LBR,,,947000000.0,4187000.0000000005,348.216,,3.7000000477
LBY,,,30839000000.0,6213000.0,171.615,,18.7999992371
MYS,Malaysia,5.770199776,827602000000.0,30124000.0,110.652,3.0,3.0999999046
TZA,Tanzania,3.852394819,21964310000000.0,47665000.0,281.707,,2.9000000954
BWA,Botswana,4.128298759,79595000000.0,2104000.0,290.882,,17.5
KHM,Cambodia,3.674466848,40137620000000.0,15561000.0,158.272,,0.3000000119
PRY,Paraguay,5.936240673,27992270000000.0,6914000.0,136.223,5.5,5.0
SAU,Saudi Arabia,6.495132923,1324490000000.0,30624000.0,130.502,-1.0,5.5999999046
LBN,Lebanon,4.983288765,46760810000000.0,4510000.0,134.978,,6.1999998093
SVN,Slovenia,5.974888802,23563000000.0,2061999.9999999998,123.733,10.4,10.1000003815
BFA,Burkina Faso,3.325949669,4356340000000.0,17200000.0,111.286,,3.2999999523
CHE,,,570350000000.0,8051000.0,99.247,3.226,4.4000000954
MRT,Mauritania,4.199015141,464207000000.0,3804000.0,160.64,,10.1000003815
HRV,Croatia,5.885462761,262858000000.0,4281000.0,108.624,16.792,17.2999992371
CHL,Chile,6.74015379,118273120000000.0,17711000.0,103.395,6.05,5.9000000954
CHN,China,5.241090298,19266200000000.0,1367520000.0,283.419,4.1,4.5
JAM,Jamaica,5.708886623,743993000000.0,2798000.0,416.774,14.9,15.1999998093
GIN,Guinea,3.901793003,9271450000000.0,11403000.0,1219.37,,6.4000000954
FIN,Finland,7.444635868,158118000000.0,5476000.0,122.435,8.137,8.1999998093
URY,Uruguay,6.444464684,667398000000.0,3404000.0,133.683,6.8,6.4000000954
THA,Thailand,6.231024742,5164590000000.0,68554000.0,107.656,0.7,0.8000000119
NPL,Nepal,4.604576588,726725000000.0,28364000.0,199.584,,3.2999999523
MAR,Morocco,5.142160416,743763000000.0,33179000.000000004,115.377,9.135,9.1999998093
YEM,Yemen,4.217678547,382320000000.0,27460000.0,454.603,,17.6000003815
