code,country,happiness,gdp,population,inflation,unemployment,alcohol
PHL,Philippines,4.976925373,7201220000000.0,99434000.0,139.893,6.9,7.0999999046
ZAF,South Africa,3.660727262,2040160000000.0,53699000.0,222.279,24.742,24.6000003815
NIC,Nicaragua,5.772274971,158706000000.0,6192000.0,185.192,6.163,5.3000001907
ROU,Romania,5.081584454,357548000000.0,21244000.0,116.166,7.168,7.0999999046
SYR,Syria,2.687552929,-1.0,-1.0,-1.0,-1.0,14.3999996185
MLT,Malta,6.379924774,5883000000.0,418000.0,121.521,6.3,6.4000000954
KAZ,Kazakhstan,5.835483074,18215610000000.0,17405000.0,299.258,5.2,5.1999998093
SUR,,,10824000000.0,553000.0,329.654,8.928,4.8000001907
BEN,Benin,3.479412794,2990720000000.0,10592000.0,115.469,,1.1000000238
NGA,Nigeria,4.81786871,14403930000000.0,173938000.0,157.631,-1.0,7.0999999046
BEL,Belgium,7.10366106,374182000000.0,11191000.0,120.805,9.1,8.3999996185
TGO,,,1418660000000.0,6998000.0,118.8,,6.1999998093
DEU,Germany,6.965125084,2528940000000.0,80925000.0,116.886,5.211,5.1999998093
LKA,Sri Lanka,4.364694118,3496160000000.0,20964000.0,182.325,4.0,4.4000000954
GBR,United Kingdom,6.918055058,1576540000000.0,64510999.99999999,128.521,6.931,7.5
MWI,Malawi,4.035084248,760645000000.0,17604000.0,592.939,,6.4000000954
CRI,Costa Rica,7.158000469,2572260000000.0,4863000.0,166.105,8.5,9.3999996185
CMR,Cameroon,4.271038055,10964900000000.0,22544000.0,237.819,,4.0999999046
NER,Niger,3.716329813,2507950000000.0,17116000.0,139.477,,2.4000000954
HUN,Hungary,4.914466858,22420960000000.0,9859000.0,146.604,9.425,10.1999998093
TKM,Turkmenistan,5.391762733,45482000000.0,5796000.0,391.589,,9.0
TTO,Trinidad and Tobago,6.167706966,91180000000.0,1351000.0,249.452,5.0,4.4000000954
NLD,Netherlands,7.406550407,547611999999.99994,16840000.0,117.172,7.302,7.1999998093
Country_code,,,,,,,
TCD,Chad,3.507663012,5560360000000.0,11284000.0,131.46,,5.8000001907
GEO,Georgia,4.348920822,13571000000.0,4470000.0,270.303,-1.0,14.6000003815
MNE,Montenegro,5.074341774,2627000000.0,624000.0,434.729,,19.5
BLZ,,,2723000000.0,355000.0,134.363,15.645,11.6999998093
MMR,Myanmar,4.175670624,52508870000000.0,66230999.99999999,1940.47,4.02,0.8000000119
AFG,Afghanistan,3.572100401,470944000000.0,31280000.0,125.138,,8.3999996185
BDI,,,1787310000000.0,9201000.0,1315.7,,1.6000000238
BLR,Belarus,5.876466274,162954830000000.0,9417000.0,546.498,0.6,0.5
GRC,Greece,4.720251083,161947000000.0,11040000.0,121.261,26.263,27.5
ZWE,Zimbabwe,4.690187931,12064000000.0,13261000.0,62.138,,5.1999998093
RWA,Rwanda,3.466387749,3085630000000.0,10865000.0,126.395,,3.4000000954
TJK,Tajikistan,4.966521263,211000000.0,8302000.0,1129.35,,10.8999996185
PSE,Palestine,4.844027996,,,,,23.3999996185
IND,India,4.427788734,64901140000000.0,1259700000.0,258.951,,3.5999999046
IRL,Ireland,6.760085106,165060000000.0,4805000.0,109.882,11.217,13.0
BTN,Bhutan,5.569091797,56321000000.0,746000.0,1145.07,3.2,2.9000000954
VNM,Vietnam,5.022698879,2686024800000000.0,90630000.0,245.2,4.424,2.0
NOR,,,2901160000000.0,5147000.0,136.833,3.5,3.4000000954
CZE,Czech Republic,6.697655678,3620740000000.0,10535000.0,123.944,6.662,7.0
HND,Honduras,4.713358402,182085000000.0,8263999.999999999,274.529,4.5,3.9000000954
MUS,,,206742000000.0,1309000.0,208.952,-1.0,7.5999999046
DOM,Dominican Republic,5.015515327,435658000000.0,10602000.0,419.898,6.097,15.0
LUX,Luxembourg,7.130809307,34648000000.0,552000.0,124.748,7.096,5.8000001907
ISR,Israel,7.320563316,998684000000.0,8044000.000000001,103.148,6.7,6.1999998093
PER,Peru,5.782557487,264399000000.0,31424000.0,114.584,6.0,4.0
IDN,Indonesia,5.292237759,2918826090000000.0,251490000.0,113.08,6.1,6.1999998093
COD,Democratic Republic of Congo,4.497477055,10023090000000.0,79301000.0,2796.95,,3.7000000477
COG,Congo,3.954950571,1676330000000.0,4274000.0,137.705,,10.0
ISL,Iceland,7.501394272,932655000000.0,323000.0,237.928,3.705,5.4000000954
ETH,Ethiopia,4.44482708,597334000000.0,90982000.0,541.536,,5.0
COM,,,149467000000.0,724000.0,180.286,,19.8999996185
COL,Colombia,6.606550694,514096430000000.0,47711000.0,115.623,9.3,9.6999998093
PRT,Portugal,5.157688141,155413000000.0,10623000.0,117.142,15.65,16.2000007629
MDA,Moldova,5.75605917,11257000000.0,3559000.0,41629.06,5.6,5.0999999046
MDG,Madagascar,3.815607071,7522340000000.0,23537000.0,344.866,,1.2999999523
ECU,Ecuador,6.019206047,69502000000.0,16027000.000000002,147.688,5.0,4.1999998093
SEN,Senegal,3.647367001,5722700000000.0,14540000.0,106.741,,10.3999996185
SRB,Serbia,5.101840496,2982300000000.0,7199000.0,184.279,21.614,22.1000003815
FRA,France,6.66712141,1832390000000.0,63951000.0,116.026,11.044,10.3999996185
LTU,Lithuania,5.595689297,89470000000.0,2957000.0,141.095,10.8,11.8000001907
UGA,Uganda,3.709578753,25755040000000.0,38040000.0,220.135,,1.8999999762
ZMB,Zambia,5.243995667,22791000000.0,15021000.0,140.451,,7.8000001907
TWN,Taiwan,6.340344429,15828610000000.0,23431000.0,104.18,4.2,
GTM,Guatemala,5.984601498,229342000000.0,15870000.0,117.334,,3.0
DNK,Denmark,7.588606834,1580770000000.0,5610000.0,131.798,6.8,7.0
UKR,Ukraine,4.710802555,-1.0,-1.0,-1.0,-1.0,7.1999998093
AUS,Australia,7.364169121,1585530000000.0,23485000.0,105.918,6.175,5.6999998093
AUT,Austria,7.498802662,277108000000.0,8520000.0,120.942,5.0,5.3000001907
VEN,Venezuela,6.552796364,61713000000.0,30457000.0,612.362,11.193,7.8000001907
KEN,Kenya,3.795383215,1775810000000.0,45547000.0,276.125,,11.8999996185
LAO,,,42694840000000.0,6901000.0,244.605,,1.2999999523
TUR,Turkey,4.888177395,125505000000.0,77324000.0,239.614,10.164,8.6999998093
ALB,Albania,4.550647736,692375000000.0,2774000.0,118.273,13.0,15.6000003815
ITA,Italy,6.009373665,1373780000000.0,59960000.0,119.807,12.4,12.1000003815
TUN,Tunisia,5.245604992,56029000000.0,11060000.0,149.435,16.0,15.8999996185
RUS,Russia,5.537177563,44017630000000.0,142857000.0,1198.04,6.2,5.5
MEX,Mexico,7.442546368,13805320000000.0,119581000.0,113.61,4.5,4.9000000954
BRA,Brazil,7.140282631,1201760000000.0,200004000.0,25948407726783.0,5.6,7.0999999046
CIV,Cote d'Ivoire,3.739365578,10109700000000.0,24791000.0,146.78,,9.3999996185
MKD,Macedonia,5.186190605,383235000000.0,2076000.0,113.222,28.96,29.0
USA,United States,7.249285221,16197560000000.0,318814000.0,236.226,6.384,7.4000000954
SWE,Sweden,7.434010506,3703780000000.0,9714000.0,100.329,8.042,8.1000003815
AZE,Azerbaijan,5.481178284,24158000000.0,9383000.0,271.277,6.048,5.0
GNB,,,375577000000.0,1646000.0,109.96,,6.0999999046
CAN,Canada,7.593793869,1733920000000.0,35494000.0,124.632,7.027,7.0999999046
KOR,South Korea,5.958809853,1176944520000000.0,50437000.0,109.555,3.125,3.0999999046
SVK,Slovakia,5.936527252,67093999999.99999,5417000.0,123.833,13.856,14.1999998093
CYP,Cyprus,5.438952446,13256000000.0,891000.0,120.516,19.229,15.8999996185
BIH,Bosnia and Herzegovina,5.123664379,25613000000.0,3871000.0,144.688,25.5,27.3999996185
SGP,Singapore,6.53320694,336359000000.0,5473000.0,118.425,2.0,2.7999999523
UZB,Uzbekistan,5.939986229,967401000000.0,30604000.0,3268.11,,9.0
POL,Poland,5.746131897,1380710000000.0,38537000.0,171.533,10.213,10.3000001907
KWT,Kuwait,6.480031013,21133000000.0,3999000.0,166.512,2.072,3.4000000954
GAB,Gabon,3.800287008,5378160000000.0,1586000.0,124.301,,20.2000007629
EST,Estonia,5.367445946,13134000000.0,1333000.0,148.514,8.459,8.6000003815
ESP,Spain,6.150027275,1023630000000.0,46507000.0,121.329,25.54,26.1000003815
IRQ,Iraq,4.725017071,77458080000000.0,35871000.0,145.444,,15.1000003815
SLV,El Salvador,6.325063229,9761000000.0,6352000.0,110.897,5.737,5.9000000954
MLI,Mali,3.676277161,1909550000000.0,17379000.0,148.599,,7.3000001907
LVA,Latvia,5.069770336,15303000000.0,2029999.9999999998,149.238,10.679,11.8999996185
IRN,Iran,5.139579296,524282770000000.0,78089000.0,217.034,14.017,10.3999996185
SSD,,,24830000000.0,11384000.0,176.584,,-1.0
SLE,Sierra Leone,4.514291286,11171650000000.0,6232000.0,2001.02,,2.9000000954
NZL,New Zealand,7.280151844,155508000000.0,4518000.0,141.067,5.217,5.8000001907
JPN,Japan,5.959361553,532485819999999.94,127061000.0,102.846,3.944,4.0
KGZ,Kyrgyzstan,5.40242672,38134000000.0,5700000.0,276.123,7.555,8.3000001907
ARE,United Arab Emirates,6.620951176,1121200000000.0,9302000.0,254.948,,4.0999999046
ARG,Argentina,6.582260132,490647000000.0,41961000.0,-1.0,7.581,7.0999999046
SDN,,,104613000000.0,35276000.0,378.016,8.382,13.0
BHR,Bahrain,6.689711094,11206000000.0,1198000.0,121.466,4.037,1.2000000477
ARM,Armenia,4.277191162,3270210000000.0,3294000.0,275.687,18.0,16.2000007629
